Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
194,-0.1450,0.1145,0.8092,-0.10741211,-0.10903592,0.98811225,15.99951,15.99951,15.11230
196,-0.1756,0.0840,0.7710,-0.10196158,-0.12537982,0.98684749,15.99951,15.99951,15.11230
198,-0.0840,-0.0305,0.7863,-0.09223962,-0.13249232,0.98680658,15.99951,15.99951,15.11230
200,-0.0763,-0.0763,0.7939,-0.07848167,-0.13509545,0.98768157,15.99951,15.99951,15.11230
202,-0.0229,-0.1145,0.8015,-0.07036799,-0.13295664,0.98858318,15.99951,15.99951,15.11230
204,-0.0153,-0.1527,0.7557,-0.05103625,-0.12538897,0.99079809,15.99951,15.99951,15.11230
206,-0.0992,-0.1756,0.6794,-0.02763781,-0.11890559,0.99243230,15.99951,15.99951,15.11230
208,-0.3130,-0.1908,0.4656,0.00088123,-0.12310515,0.99235877,15.99951,15.99951,15.11230
210,-0.3206,-0.2748,0.1985,0.03336677,-0.13248616,0.99058551,15.99951,15.99951,15.11230
212,-0.3359,-0.2977,0.1298,0.04940066,-0.13664000,0.98937263,15.99951,15.99951,15.11230
214,-0.3588,-0.2748,0.0687,0.07756800,-0.14411658,0.98640842,15.99951,15.99951,15.11230
216,-0.2061,-0.3740,-0.0076,0.10596204,-0.14362075,0.98385353,15.99951,15.99951,15.11230
218,-0.0611,-0.4504,-0.1908,0.14058599,-0.13052840,0.98133506,15.99951,15.99951,15.11230
220,-0.0305,-0.4962,-0.3817,0.17649533,-0.11192790,0.97792320,15.99951,15.99951,15.11230
222,-0.0458,-0.4275,-0.4275,0.19255016,-0.10197852,0.97588691,15.99951,15.99951,15.11230
224,-0.0229,-0.2519,-0.4885,0.21336209,-0.08101203,0.97357788,15.99951,15.99951,15.11230
226,-0.0992,-0.2519,-0.6107,0.22722964,-0.05948962,0.97194604,15.99951,15.99951,15.11230
228,0.0916,-0.3206,-0.7710,0.24520816,-0.03160056,0.96893472,15.99951,15.99951,15.11230
230,0.0534,-0.3588,-0.9542,0.26461246,-0.00023410,0.96435327,15.99951,15.99951,15.11230
232,0.0305,-0.3511,-1.0076,0.27244639,0.01336534,0.96198425,15.99951,15.99951,15.11230
234,0.0534,-0.4122,-0.9695,0.28488225,0.03824447,0.95779657,15.99951,15.99951,15.11230
236,-0.0076,-0.3053,-0.9466,0.29230899,0.05788917,0.95447645,15.99951,15.99951,15.11230
238,-0.1832,0.0153,-1.0458,0.28340225,0.06407585,0.95685920,15.99951,15.99951,15.11230
