Packet number,Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Magnetometer X (G),Magnetometer Y (G),Magnetometer Z (G)
718,2.0000,-1.8750,-9.6875,0.04384779,-0.66587471,1.13800323,15.99951,15.99951,15.11230
720,45.6875,-8.4375,-15.4375,-0.06118298,-0.63834238,0.95547409,15.99951,15.99951,15.11230
722,68.1250,-25.8125,-14.4375,0.03874921,-0.69034786,0.93202066,15.99951,15.99951,15.11230
724,66.7500,-20.5000,-9.1250,0.03365063,-0.68626899,0.90142908,15.99951,15.99951,15.11230
726,66.0000,-18.6250,-6.6250,0.07953786,-0.70564360,0.99524297,15.99951,15.99951,15.11230
728,78.1875,-7.3750,-0.5000,0.01835489,-0.71686053,1.00340080,15.99951,15.99951,15.11230
730,93.6250,1.3750,16.1875,0.04588723,-0.62304663,0.90550794,15.99951,15.99951,15.11230
732,89.0000,-26.1875,16.5625,0.11318850,-0.47110886,0.73725481,15.99951,15.99951,15.11230
734,78.8125,-44.3750,11.0000,0.12236596,-0.45989203,0.73113651,15.99951,15.99951,15.11230
736,61.7500,-61.8750,-0.7500,0.16723345,-0.59857339,0.87389678,15.99951,15.99951,15.11230
738,68.5625,-41.6875,-0.5000,0.35486123,-0.57919878,1.01971614,15.99951,15.99951,15.11230
740,74.5000,-24.6875,-18.6875,0.32630918,-0.54554815,0.96873035,15.99951,15.99951,15.11230
742,73.8125,-36.4375,-31.8750,0.27532339,-0.49456233,0.93304023,15.99951,15.99951,15.11230
744,76.4375,-40.0000,-23.1875,0.09993219,-0.51699614,0.95343475,15.99951,15.99951,15.11230
746,119.8125,-23.3750,-13.1250,0.10401105,-0.49558205,1.05744564,15.99951,15.99951,15.11230
748,139.3750,-6.0000,-0.6250,0.10401105,-0.42624135,0.66587471,15.99951,15.99951,15.11230
750,85.5000,-15.5625,-0.8750,0.27328395,-0.36607811,0.90244884,15.99951,15.99951,15.11230
752,65.8750,-15.5625,2.6250,0.15703629,-0.36301896,1.01461756,15.99951,15.99951,15.11230
754,61.2500,-19.1875,6.0625,0.18558835,-0.36709783,1.03603160,15.99951,15.99951,15.11230
756,74.0625,-25.6875,13.5000,0.33548662,-0.22535727,0.92488250,15.99951,15.99951,15.11230
758,93.7500,-20.4375,9.3750,0.19578551,-0.24371218,0.89836997,15.99951,15.99951,15.11230
760,91.8125,2.0000,13.2500,0.24371218,-0.21210095,0.87083759,15.99951,15.99951,15.11230
762,85.7500,13.3750,13.0625,0.25288963,-0.18966721,0.82393064,15.99951,15.99951,15.11230
764,55.4375,16.6250,9.3125,0.35588095,-0.09891248,0.83412790,15.99951,15.99951,15.11230
766,45.5625,-10.0000,-3.1250,0.37117671,-0.06424212,0.88511371,15.99951,15.99951,15.11230
768,99.6875,-35.3125,-28.3125,0.29163883,-0.05710411,0.99014444,15.99951,15.99951,15.11230
770,152.1875,-37.0000,-25.1250,0.00611830,-0.17947005,0.86675872,15.99951,15.99951,15.11230
772,140.2500,-5.3750,8.5625,0.03365063,-0.13970111,0.83004903,15.99951,15.99951,15.11230
774,133.5000,15.9375,18.3750,0.13358281,-0.03467035,0.75153083,15.99951,15.99951,15.11230
776,61.1250,45.2500,20.0000,0.13256310,0.02957177,0.63324375,15.99951,15.99951,15.11230
778,58.5000,24.1250,13.8125,0.06220269,-0.03670978,0.91060657,15.99951,15.99951,15.11230
780,76.6875,-21.8750,2.2500,0.15091799,0.27532339,0.27634310,15.99951,15.99951,15.11230
782,48.0000,-39.4375,-25.2500,0.16111516,-0.00203943,0.86166019,15.99951,15.99951,15.11230
784,81.1875,-29.3125,-36.6250,0.09891248,-0.07036042,0.98198671,15.99951,15.99951,15.11230
786,99.6250,-18.5625,-31.5625,-0.01223659,-0.16111516,0.95955295,15.99951,15.99951,15.11230
788,126.5625,6.7500,-19.0000,0.07341957,-0.00611830,0.64955921,15.99951,15.99951,15.11230
790,138.0000,19.2500,-14.6250,-0.01937461,0.16825317,0.31203315,15.99951,15.99951,15.11230
